track_name,artist_name,artist_count,released_year,released_month,released_day,streams,in_spotify_playlists,in_spotify_charts,bpm,key_signature,mode_type,danceability_percent,valence_percent,energy_percent,acousticness_percent,instrumentalness_percent,liveness_percent,speechiness_percent
"Pope Is a Rockstar",SALES,1,2016,4,20,1966,0,156658366,4,2,50,0,0,90,0,0,73,31
2055,"Sleepy hallow",1,2021,4,14,2226,0,624515457,29,0,44,0,0,161,0,0,78,65
Bored,"Billie Eilish",1,2017,3,30,4204,0,777765388,39,45,250,0,0,120,0,0,60,11
"Happier Than Ever - Edit","Billie Eilish",1,2021,7,28,1959,0,412795151,19,0,38,0,0,81,0,0,45,12
"Astronaut In The Ocean","Masked Wolf",1,2019,1,1,7191,0,1138474110,146,18,478,0,7,150,0,0,78,47
"Ley Seca","Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,355219175,101,12,38,0,0,105,0,0,76,58
"Every Summertime",NIKI,1,2021,8,10,1211,2,290228626,30,2,5,0,6,79,0,0,63,76
"Talking To The Moon","Bruno Mars",1,2010,10,4,7109,2,1062956628,5,0,862,0,0,146,0,0,52,7
"you broke me first","Tate McRae",1,2020,4,17,6638,0,1180094974,167,19,318,0,1,124,0,0,64,8
"The Nights",Avicii,1,2014,1,1,17354,8,1456081449,92,122,"1,282",0,55,126,0,0,53,66
"Take My Breath","The Weeknd",1,2021,8,6,6392,0,432702334,174,73,344,0,0,121,0,0,75,53
"Way 2 Sexy (with Future & Young Thug)","Drake, Future, Young Thug",3,2021,9,3,5481,0,489945871,144,30,86,0,0,136,0,0,80,33
Cï¿½ï¿½,"Rauw Alejandro",1,2021,6,25,2636,3,465959382,36,82,39,0,5,102,0,0,77,26
"Enemy - from the series Arcane League of Legends","Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149,8,8,8,2,0,77,0,0,73,54
"Dance Monkey","Tones and I",1,2019,5,10,24529,0,2147483647,533,167,"3,595",6,0,98,0,0,82,54
"Lucid Dreams","Juice WRLD",1,2017,6,15,14749,0,2147483647,188,34,710,0,5,84,0,0,44,22
"Quï¿½ï¿½ Mï¿½ï¿","J Balvin, Maria Becerra",2,2021,1,28,8087,0,720825549,92,34,131,0,0,102,0,0,89,77
"All of Me","John Legend",1,2013,8,1,27221,0,2086124197,308,118,"4,534",2,77,120,0,0,42,33
"Smells Like Teen Spirit - Remastered 2021",Nirvana,1,1991,9,10,49991,9,1690192927,265,121,"12,367",4,160,117,0,0,52,73
Arcade,"Duncan Laurence",1,2019,3,7,6646,0,991336132,107,47,584,1,0,72,0,0,45,27
"Fair Trade (with Travis Scott)","Drake, Travis Scott",2,2021,9,3,5403,6,593917618,118,116,96,0,3,168,0,0,67,29
Bar,"Tini, L-Gante",2,2021,11,11,755,4,200972675,22,3,0,0,0,94,0,0,52,68
"The Rumbling (TV Size)",SiM,1,2022,1,10,254,0,71014967,0,4,23,0,0,145,0,0,41,65
"family ties (with Kendrick Lamar)","Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,560222750,114,15,63,0,2,134,0,0,71,14
"Mr. Brightside","The Killers",1,2003,9,23,51979,15,1806617704,306,99,"5,063",2,120,148,0,0,35,24
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771,2,12,10,0,0,127,0,0,60,40
"AM Remix","J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703,93,5,67,1,0,172,0,0,74,79
Streets,"Doja Cat",1,2019,11,7,5728,0,865640097,85,87,179,0,12,90,0,0,75,19
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2147483647,368,155,"2,854",6,121,96,0,0,57,30
"Polaroid Love",ENHYPEN,1,2022,1,10,461,0,211372494,10,56,17,0,0,138,0,0,74,65
"Leave Before You Love Me (with Jonas Brothers)","Marshmello, Jonas Brothers",2,2021,4,28,4893,4,651732901,143,24,110,0,70,120,0,0,72,67
"Permission to Dance",BTS,1,2021,7,9,1801,2,608334048,77,134,74,0,2,125,0,0,70,65
"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573,209,54,710,0,18,123,0,0,82,80
RAPSTAR,"Polo G",1,2021,4,9,4731,0,797402345,141,12,78,0,0,81,0,0,79,44
"'Till I Collapse","Eminem, Nate Dogg",2,2002,5,26,22923,0,1695712020,78,46,"2,515",1,0,171,0,0,55,10
Memories,"Maroon 5",1,2019,9,20,9974,2,1759567999,272,67,"1,066",1,19,91,0,0,77,60
"Se Le Ve","Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934,72,0,0,0,0,84,0,0,56,61
"25k jacket (feat. Lil Baby)","Gunna, Lil Baby",2,2022,1,7,620,0,54937991,17,3,3,0,0,115,0,0,90,74
"When Iï¿½ï¿½ï¿½m Gone (with Katy ","Katy Perry, Alesso",2,2021,12,29,3270,0,226897599,89,21,65,0,0,125,0,0,69,70
"Esqueï¿½ï¿½a-Me Se For C","Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,0,258316038,24,92,93,0,0,122,0,0,80,62
Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29,3406,16,596152090,61,23,70,1,0,92,0,0,85,92
